Selected for Sampling,Complaint Log Year,Complaint Log Month,Program - BIN,Bank Approved Program Name,Program - Bin Type (SF),Consumer Full Name,Account Token/ID,Date Complaint  Received,Compliant End Date,Days Open,Days Elapsed Calculated,True Complaint or Inquiry?,Complaint Source,Complaint Type,Root Cause,Root Cause Narrative,Complaint Details,Brief Summary of Resolution,Response,Program - Customer Support Method
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,101-act,2/17/25,2/24/25,,7,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,102-act,2/13/25,2/24/25,,11,,Form,Voluntary Return,,,Customer requested a Voluntary Return of their leased items,Voluntary return pickup completed and customer was informed of their remaining minimum agreement term,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,103-act,2/14/25,2/24/25,,10,,Form,Voluntary Return,,,Customer requested a Voluntary Return of their leased items,Voluntary return pickup completed and customer was informed of their remaining minimum agreement term,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,104-act,2/17/25,2/21/25,,4,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,105-act,2/12/25,2/20/25,,8,,Form,Voluntary Return,,,Customer requested a Voluntary Return of their leased items,Unable to reach customer to confirm pickup date for voluntary return. Unable to proceed until pickup can be scheduled with customer,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,106-act,2/18/25,2/19/25,,1,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Customer opted to keep their account open,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,107-act,2/13/25,2/19/25,,6,,Form,Funded No Items,,,Customer stated items had not been delivered,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,108-act,2/10/25,2/18/25,,8,,Form,Funded No Items,,,Customer stated items had not been delivered,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,109-act,2/15/25,2/18/25,,3,,Form,Threat of external complaint,,,Customer disputed the terms of their early purchase option,"Provided customer the option to utilize their Cash+ option as a courtesy, advised customer of this change and process needed to have the account closed at time of payoff.",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,110-act,2/10/25,2/18/25,,8,,Form,Partial Delivery,,,Customer stated items had not been delivered,"Customer did not return signed affidavit as requested, advised customer that investigation cannot continue until the affidavit is returned",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,111-act,2/10/25,2/17/25,,7,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",,,Customer disputed the terms of their early purchase option,"Offered a courtesy to allow the customer to utilize their Cash+ option despite it's expiry, advised customer of terms of this offer",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,112-act,2/13/25,2/15/25,,2,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,113-act,2/11/25,2/14/25,,3,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",,,Customer stated some leased items had been returned to the merchant,"Account was adjusted to align with the true leased items after returns, advised customer of changes and payment terms. No further action needed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,114-act,2/14/25,2/14/25,,0,,Form,Voluntary Return,,,Customer requested a Voluntary Return of their leased items,"Duplicate case, no action needed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,115-act,2/14/25,2/14/25,,0,,Form,Voluntary Return,,,Customer requested a Voluntary Return of their leased items,"Duplicate case, no action needed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,116-act,2/10/25,2/14/25,,4,,Form,Dealer service/item discrepancy,,,Customer claimed the items had become damaged.,Advised customer that warranty claims would need to be handled with the merchant directly,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,117-act,2/13/25,2/13/25,,0,,Form,Funded No Items,,,Customer stated items had not been delivered,"Duplicate case, no action needed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,118-act,2/11/25,2/13/25,,2,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,119-act,2/12/25,2/13/25,,1,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,120-act,2/7/25,2/13/25,,6,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",,,Customer claimed the items had become damaged.,"Advised customer that damage or loss of items would need to be handled directly with the merchant, however as a courtesy the customer's account was closed with no further payments owed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,121-act,2/4/25,2/11/25,,7,,Form,Voluntary Return,,,Customer requested a Voluntary Return of their leased items,"Customer opted to keep their items and cancel the requested VR, no further assistance needed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,122-act,2/4/25,2/11/25,,7,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",,,Customer disputed the cost of the leased items,"Confirmed that leased items are aligned with the rental purchase agreement and that all terms are correct, advised customer that terms are correct. No further action needed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,123-act,2/11/25,2/11/25,,0,,Form,Dealer service/item discrepancy,,,Customer disputed the cost of the leased items,"Duplicate case, no action needed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,124-act,2/7/25,2/7/25,,0,,Form,Threat of external complaint,,,Customer requested to stop calls from Koalafi,"Do Not Contact Phone added to account per customer request, no further action needed at this time",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,125-act,2/5/25,2/5/25,,0,,Form,Lawyer/Legal Issue,,,Customer stated their order had been cancelled prior to delivery,"Duplicate case, no action needed",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,126-act,2/3/25,2/5/25,,2,,Form,Pre-Funded Cancellation,,,Customer requested to have their account cancelled,Account cancelled per customer's request,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,127-act,2/4/25,2/4/25,,0,,Form,"Lease Terms and Fees (Cash +, Payment Frequency, 1st Payment)",,,Customer stated some leased items had been returned to the merchant,Advised customer they will need to provide a receipt showing the return was accepted by the merchant or have the merchant reach out to confirm the return,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,128-act,1/23/25,1/25/25,,2,,Customer,ID Theft,,,"Victim contacted about a fraudulent business account, Athletiflex LLC, opened using his SSN, agentadvised victim to void any received checks. The account was already closed after fraud review.",Solved via SOP,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,129-act,2/11/25,2/16/25,,5,,Customer,Unauthorised Transactions,,,"AH reported multiple unauthorized transactions from Walmart, TEMU, and DoorDash. Fortunately, the charges were declined, but AH requested a new debit card for security.

Novo confirmed that specific transactions cannot be blocked, so AH’s current card was canceled and a new one was ordered.",Solved via SOP,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,130-act,2/21/25,2/26/25,,5,,Customer,Unauthorised Transactions,,,"AH reported unauthorized notifications from Canva and Facebook related to his old card ending in 0440. The said  transaction was voided, meaning it was canceled before settlement.",Solved via SOP,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,131-act,2/19/25,2/28/25,,9,,Customer,ID Theft,,,"AH’s Novo account was compromised after their phone was stolen, leading to unauthorized access to multiple financial accounts. AH repeatedly requested urgent action, including freezing the account and logging out unauthorized users. After multiple follow-ups, Novo initiated an identity verification process. AH later regained access to their original email, reset their Novo credentials, and confirmed fraudulent activity. Novo eventually updated AH’s login details, lifted the account freeze, and provided security recommendations. AH was advised to review account settings and monitor for further suspicious activity.",Solved via SOP,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,132-act,2/11/25,2/21/25,,10,,Customer,ID Theft,,,"AH reported that his banking information was stolen and requested to create a new account. Novo initiated an identity verification process and requested AH to submit an ID Theft Verification Form, including a photo of himself holding his ID.

After multiple submissions and clarifications regarding the required image quality, AH successfully completed the verification process. Novo then updated his login credentials, unfroze his account, and advised him to reset his password. AH was also instructed to review his account settings, including email, phone number, and authorized users, to ensure no unauthorized changes had been made.",Solved via SOP,N/A,Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,133-act,1/3/25,1/3/25,,0,Inquiry,Email,Billing,,,User wrote in on 1/3 to request for an itemized copy of her bill submission on 09/29/2024 for her insurance.,The Papaya agent provided user a proof of payment for her bill submission on 09/29/2024 and was paid on the same date.,N/A,Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,134-act,1/5/25,1/6/25,,1,Inquiry,Email,Billing,,,User wrote in on 1/5 to request for an itemized bill for the her bill submission on 08/05/2024.,The Papaya agent provided user a proof of payment for her bill submission on 08/05/2024 and was paid on the same date.,N/A,Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,135-act,1/7/25,1/7/25,,0,Inquiry,Email,Billing,,,User wrote in on 1/7 to request for a receipt of the bill she submitted on 07/17/2024.,The Papaya agent provided user a proof of payment for her bill submission on 07/17/2024 and was paid on the same date.,N/A,Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,136-act,1/11/25,1/15/25,,4,,Email,Payment,,,"User wrote in on 1/11 to confirm the payment of her bill submission on 11/09/2024 as per her biller, they did not received the payment.",The Papaya agent provided user a proof of payment of her bill submission on 11/09/2024 and was paid on the same date.,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,137-act,2/5/25,2/5/25,,0,,Email,,,,User advised payment was not applied to their account,Provided proof of payment,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,138-act,2/5/25,2/7/25,,2,,Email,,,,User said biller had no record of the payment being made,Provided proof of payment,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,139-act,2/7/25,2/12/25,,5,,Email,,,,User said biller had no record of the payment being made,Advised the user that the payment was declined by biller. Papaya made a full refund back to user.,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,140-act,2/8/25,2/13/25,,5,,Email,,,,User claimed that biller never received their payment.,"Called biller and confirmed payment was succesful, provided user with confirmation # for payment.",N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,141-act,2/11/25,2/17/25,,6,,Email,,,,User asked for payment receipt,"We asked user to provide information for HIPAA compliance, we never heard back from them. According to Admin, this bill was paid successfully.",N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,142-act,2/12/25,2/13/25,,1,,Email,,,,"User advised they were charged even though biller declined payment, user asked for refund",Advised user that we initiated a full refund.,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,143-act,2/14/25,2/15/25,,1,,Email,,,,User advised payment was not applied to their account,Provided proof of payment,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,144-act,2/11/25,,,,,Email,,,,User was accidently refunded funds from Papaya after a successful payment to the biller. We informed the user that we will need to charge them $200.,"We have informed the user that we will need to charge them for $200, waiting on an acknowledgement from the user.",N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,145-act,2/12/25,2/17/25,,5,,Email,,,,User requested proof of payment,Provided proof of payment,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,146-act,2/15/25,2/22/25,,7,,Email,,,,User advised they were charged twice by Papaya.,"After reviewing with their bank, the user concluded that they were not charged twice by Papaya.",N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,147-act,2/15/25,2/20/25,,5,,Email,,,,User advised payment was not applied to their account,Advised user that we succesfully made the payment to the biller.,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,148-act,2/19/25,2/20/25,,1,,Email,,,,User advised one of their recent payments was not applied to their account,"Advised user that the payee is a partner, and that once the payment is processed they will receive notice via email",N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,149-act,2/20/25,2/20/25,,0,,Email,,,,User asked if they would be refunded for a bill that was declined.,Advised user that payment has been fully refunded.,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,150-act,2/20/25,2/22/25,,2,,Email,,,,User asked how they would be refunded for cancelled bill.,Advised user that payment has been fully refunded.,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,151-act,2/21/25,2/26/25,,5,,Email,,,,User requested proof of payment,Provided proof of payment and advised user to reach out to biller directly.,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,152-act,2/21/25,,,,,Email,,,,User advised payment was not applied to their account,"Papaya provided proof of payment to user, however this was not sufficient evidence. Papaya is investigating the matter further.",N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,153-act,2/19/25,2/26/25,,7,,Email,,,,User asked for bill to be cancelled and refunded.,Provided proof of payment,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,154-act,2/27/25,2/28/25,,1,,Email,,,,User advised payment was not applied to their account,Provided proof of payment,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,155-act,2/27/25,2/1/29,,1435,,Email,,,,User requested proof of payment,Provided proof of payment,N/A,Email;Call Center
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,156-act,2/18/25,2/19/25,,1,,Intercom,Card Access,Access to funds/non-regulatory,,"Jocelyn reached out to Talli and reported Talli, Incomm, and CentraState Settlement to BBB, CFPB, and FTC because she had issues accessing her funds via her Talli account.",The support team resolved her general access issues and she was able to access her funds.,N/A,Email
no,2025,February,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,157-act,2/21/25,2/23/25,,2,,Intercom,Scam Report,Other,,MaryJo reported Talli to USGovScam alert because she did not believe Talli was a legitimate disbursement company.,CentraState Settlement (via AB Data) sent reminder and Talli confirmed this was not a scam. She redeemed an Amazon giftcard with her payout.,N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,158-act,1/2/25,1/2/25,,0,Inquiry,Front (Email),Customer Service,,,Referral rewards not provisioned,"\Nickolas Cuartero invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Nickolas Cuartero will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,159-act,1/2/25,1/2/25,,0,Inquiry,Front (Email),Customer Service,,,Referral rewards not provisioned,"Rytham Upadhyay invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Rytham Upadhyay will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,160-act,1/2/25,1/2/25,,0,Inquiry,Front (Email),Customer Service,,,Referral rewards not provisioned,"Ashwin Rangarajan invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Ashwin Rangarajan will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,161-act,1/2/25,1/2/25,,0,Inquiry,Front (Email),Customer Service,,,Referral rewards not provisioned,"Miriam Blumenfeld invited friends through a referral link to create an account and use services. Once the referral journey is completed, Miriam Blumenfeld will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,162-act,1/3/25,1/7/25,,4,Inquiry,Front (Email),Customer Service,,,Referral rewards not provisioned,"Jaeo Han invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Jaeo Han will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,163-act,1/3/25,1/7/25,,4,Inquiry,Front (Email),Customer Service,,,Referral rewards not provisioned,"Yani Qian invited a friend through a referral link to create an account and use services. Once the referral journey is completed,Yani Qian will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,164-act,1/3/25,1/7/25,,4,Inquiry,Front (Email),Customer Service,,,Referral rewards not provisioned,"Brian MacDermott invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Brian MacDermott will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,165-act,1/4/25,1/7/25,,3,Inquiry,Front (Email),Customer Service,,,Referral rewards not provisioned,"Christine Milgrim invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Christine Milgrim will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,166-act,1/4/25,1/7/25,,3,Inquiry,Front (Email),Customer Service,,,Referral rewards not provisioned,"Jeremy Milgrim invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Jeremy Milgrim will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,167-act,1/4/25,1/7/25,,3,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Helen Le invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Helen Le will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,168-act,1/4/25,1/7/25,,3,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Henry Zhang invited friends through a referral link to create an account and use services. Once the referral journey is completed, Henry Zhang will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,169-act,1/4/25,1/7/25,,3,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"David Chen invited a friend through a referral link to create an account and use services. Once the referral journey is completed, David Chen will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,170-act,1/5/25,1/7/25,,2,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Elsa Ban invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Elsa Ban will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,171-act,1/5/25,1/7/25,,2,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Eliezer Mandel invited friends through a referral link to create an account and use services. Once the referral journey is completed, Eliezer Mandel will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,172-act,1/6/25,1/7/25,,1,Inquiry,Aloware (Call),Customer Service,,,Referral rewards not provisioned,"Samuel Amsel invited friends through a referral link to create an account and use services. Once the referral journey is completed, Samuel Amsel will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,173-act,1/6/25,1/7/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Ben Pritchard invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Ben Pritchard will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,174-act,1/6/25,1/7/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Stacy Hsieh invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Stacy Hsieh will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,175-act,1/7/25,1/7/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Pradeep Kesarwaniinvited a friend through a referral link to create an account and use services. Once the referral journey is completed, Pradeep Kesarwani will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,176-act,1/7/25,1/7/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Jie Hu invited friends through a referral link to create an account and use services. Once the referral journey is completed, Jie Hu will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,177-act,1/7/25,1/7/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Wendy Martin invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Wendy Martin will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,178-act,1/7/25,1/7/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Madhu Chandra Gowdar invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Madhu Chandra Gowdar will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,179-act,1/8/25,1/8/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Yocheved Rosenberg invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Yocheved Rosenberg will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,180-act,1/9/25,1/9/25,,0,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Eugene Anderson invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Eugene Anderson will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,181-act,1/10/25,1/15/25,,5,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Candy Hua invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Candy Hua will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,182-act,1/10/25,1/15/25,,5,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Geethanjali Kaleeswararaj invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Geethanjali Kaleeswararaj will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,183-act,1/11/25,1/15/25,,4,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Dongeun Kim invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Dongeun Kim will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,184-act,1/12/25,1/15/25,,3,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Jessica Akpan invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Jessica Akpan will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,185-act,1/12/25,1/15/25,,3,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"sudhir modi invited friends through a referral link to create an account and use services. Once the referral journey is completed, sudhir modi will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,186-act,1/12/25,1/15/25,,3,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Ashish Jain invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Ashish Jain will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,187-act,1/13/25,1/15/25,,2,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Adam Kotlarz invited a friend through a referral link to create an account and use services. Once the referral journey is completed, Adam Kotlarz will be eligible for a gift card. After escalation, the customer was told that the gift card was provisioned and he would be able to see it sometime.",N/A,Email
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,188-act,1/14/25,1/15/25,,1,Inquiry,Front (Chat),Customer Service,,,Referral rewards not provisioned,"Lester Lee invited friends through a referral link to create an account and use services. Once the referral journey is completed, Lester Lee will be eligible for the gift cards. After escalation, the customer was told that the gift cards were provisioned and he would be able to see it sometime.",N/A,Email
